100  C0  H
iRDF: 0
distance:	RDF value:
4.40000	0.00000000
4.50000	0.00000000
4.60000	0.00000000
4.70000	0.00000000
4.80000	0.00000000
4.90000	0.00000000
5.00000	0.00000000
5.10000	0.00000000
5.20000	0.00000000
5.30000	0.00000000
5.40000	0.00000000
5.50000	0.00000000
5.60000	0.00000000
5.70000	0.00000000
5.80000	0.00000000
5.90000	0.00000000
6.00000	0.00000000
6.10000	0.00000000
6.20000	0.00000000
6.30000	0.00000000
6.40000	0.00000000
6.50000	0.00000000
6.60000	0.00000000
6.70000	0.00000000
6.80000	0.00000000
6.90000	0.00000000
7.00000	0.00000000
7.10000	0.00000000
7.20000	0.00000000
7.30000	0.00000000
7.40000	0.00000000
7.50000	0.00000000
7.60000	0.00000000
7.70000	0.00000000
7.80000	0.00000000
7.90000	0.00000000
8.00000	0.00000000
8.10000	0.00000000
8.20000	0.00000000
8.30000	0.00000000
8.40000	0.00000000
8.50000	0.00000000
8.60000	0.00000000
8.70000	0.00000000
8.80000	0.00000000
8.90000	0.00000000
9.00000	0.00000000
9.10000	0.00000000
9.20000	0.00000000
9.30000	0.00000000
9.40000	0.00000000
9.50000	0.00000000
9.60000	0.00000000
9.70000	0.00000000
9.80000	0.00000000
9.90000	0.00000000
iRDF: 3
distance:	RDF value:
0.00000	0.00000000
0.10000	0.00000000
0.20000	0.00000000
0.30000	0.00000000
0.40000	0.00000000
0.50000	0.00000000
0.60000	0.00000000
0.70000	0.00000000
0.80000	0.00000000
0.90000	0.00000000
1.00000	0.00000000
1.10000	0.00000000
1.20000	0.00000000
1.30000	0.00000000
1.40000	0.00000000
1.50000	0.00000000
1.60000	0.00000000
1.70000	0.00000000
1.80000	0.00000000
1.90000	0.00000000
2.00000	0.00000000
2.10000	0.00000000
2.20000	0.00000000
2.30000	0.00000000
2.40000	0.00000000
2.50000	0.00000000
2.60000	0.00000000
2.70000	0.00000000
2.80000	0.00000000
2.90000	0.00000000
3.00000	0.00000000
3.10000	0.00000000
3.20000	0.00000000
3.30000	0.00000000
3.40000	0.00000000
3.50000	0.00000000
3.60000	0.02814976
3.70000	0.05335752
3.80000	0.13468414
3.90000	0.28773817
4.00000	0.26604804
4.10000	0.02890284
4.20000	0.00000000
4.30000	0.00000000
4.40000	0.00000000
4.50000	0.00000000
4.60000	0.00000000
4.70000	0.00000000
4.80000	0.00000000
4.90000	0.00000000
5.00000	0.00000000
5.10000	0.00000000
5.20000	0.00000000
5.30000	0.00000000
5.40000	0.00000000
5.50000	0.00000000
5.60000	0.00000000
5.70000	0.00000000
5.80000	0.00000000
5.90000	0.00000000
6.00000	0.00000000
6.10000	0.00000000
6.20000	0.00000000
6.30000	0.00000000
6.40000	0.00000000
6.50000	0.00000000
6.60000	0.00000000
6.70000	0.00000000
6.80000	0.00000000
6.90000	0.00000000
7.00000	0.00000000
7.10000	0.00000000
7.20000	0.00000000
7.30000	0.00000000
7.40000	0.00000000
7.50000	0.00000000
7.60000	0.00000000
7.70000	0.00000000
7.80000	0.00000000
7.90000	0.00000000
8.00000	0.00000000
8.10000	0.00000000
8.20000	0.00000000
8.30000	0.00000000
8.40000	0.00000000
8.50000	0.00000000
8.60000	0.00000000
8.70000	0.00000000
8.80000	0.00000000
8.90000	0.00000000
9.00000	0.00000000
9.10000	0.00000000
9.20000	0.00000000
9.30000	0.00000000
9.40000	0.00000000
9.50000	0.00000000
9.60000	0.00000000
9.70000	0.00000000
9.80000	0.00000000
9.90000	0.00000000
iRDF: 4
distance:	RDF value:
0.00000	0.00000000
0.10000	0.00000000
0.20000	0.00000000
0.30000	0.00000000
0.40000	0.00000000
0.50000	0.00000000
0.60000	0.00000000
0.70000	0.00000000
0.80000	0.00000000
0.90000	0.00000000
1.00000	0.00000000
1.10000	0.00000000
1.20000	0.00000000
1.30000	0.00000000
1.40000	0.00000000
1.50000	0.00000000
1.60000	0.00000000
1.70000	0.00000000
1.80000	0.00000000
1.90000	0.00000000
2.00000	0.00000000
2.10000	0.00000000
2.20000	0.00000000
2.30000	0.00000000
2.40000	0.00000000
2.50000	0.00000000
2.60000	0.00000000
2.70000	0.00000000
2.80000	0.00000000
2.90000	0.00000000
3.00000	0.00000000
3.10000	0.00000000
3.20000	0.00000000
3.30000	0.00000000
3.40000	0.00000000
3.50000	0.00000000
3.60000	0.00000000
3.70000	0.00889241
3.80000	0.09264443
3.90000	0.19182733
4.00000	0.32679383
4.10000	0.12293626
4.20000	0.02759472
4.30000	0.00000000
4.40000	0.00000000
4.50000	0.00000000
4.60000	0.00000000
4.70000	0.00000000
4.80000	0.00000000
4.90000	0.00000000
5.00000	0.00000000
5.10000	0.00000000
5.20000	0.00000000
5.30000	0.00000000
5.40000	0.00000000
5.50000	0.00000000
5.60000	0.00000000
5.70000	0.00000000
5.80000	0.00000000
5.90000	0.00000000
6.00000	0.00000000
6.10000	0.00000000
6.20000	0.00000000
6.30000	0.00000000
6.40000	0.00000000
6.50000	0.00000000
6.60000	0.00000000
6.70000	0.00000000
6.80000	0.00000000
6.90000	0.00000000
7.00000	0.00000000
7.10000	0.00000000
7.20000	0.00000000
7.30000	0.00000000
7.40000	0.00000000
7.50000	0.00000000
7.60000	0.00000000
7.70000	0.00000000
7.80000	0.00000000
7.90000	0.00000000
8.00000	0.00000000
8.10000	0.00000000
8.20000	0.00000000
8.30000	0.00000000
8.40000	0.00000000
8.50000	0.00000000
8.60000	0.00000000
8.70000	0.00000000
8.80000	0.00000000
8.90000	0.00000000
9.00000	0.00000000
9.10000	0.00000000
9.20000	0.00000000
9.30000	0.00000000
9.40000	0.00000000
9.50000	0.00000000
9.60000	0.00000000
9.70000	0.00000000
9.80000	0.00000000
9.90000	0.00000000
